R 	 	 C1 	 	 sim1 	 	 C2 	 	 sim2 
0 	 	 1 	 	 0.31275984996506406	 	 2	 	0.515139643649192
0 	 	 1 	 	 0.31275984996506406	 	 3	 	0.32130928483058974
0 	 	 1 	 	 0.31275984996506406	 	 4	 	0.37335748820861153
0 	 	 1 	 	 0.31275984996506406	 	 5	 	0.42218827589450647
0 	 	 1 	 	 0.31275984996506406	 	 6	 	0.2746763438844286
0 	 	 1 	 	 0.31275984996506406	 	 7	 	0.3050192822098166
0 	 	 1 	 	 0.31275984996506406	 	 8	 	0.2868852459016394
0 	 	 1 	 	 0.31275984996506406	 	 9	 	0.40647549313023257
0 	 	 2 	 	 0.515139643649192	 	 3	 	0.32130928483058974
0 	 	 2 	 	 0.515139643649192	 	 4	 	0.37335748820861153
0 	 	 2 	 	 0.515139643649192	 	 5	 	0.42218827589450647
0 	 	 2 	 	 0.515139643649192	 	 6	 	0.2746763438844286
0 	 	 2 	 	 0.515139643649192	 	 7	 	0.3050192822098166
0 	 	 2 	 	 0.515139643649192	 	 8	 	0.2868852459016394
0 	 	 2 	 	 0.515139643649192	 	 9	 	0.40647549313023257
0 	 	 3 	 	 0.32130928483058974	 	 4	 	0.37335748820861153
0 	 	 3 	 	 0.32130928483058974	 	 5	 	0.42218827589450647
0 	 	 3 	 	 0.32130928483058974	 	 6	 	0.2746763438844286
0 	 	 3 	 	 0.32130928483058974	 	 7	 	0.3050192822098166
0 	 	 3 	 	 0.32130928483058974	 	 8	 	0.2868852459016394
0 	 	 3 	 	 0.32130928483058974	 	 9	 	0.40647549313023257
0 	 	 4 	 	 0.37335748820861153	 	 5	 	0.42218827589450647
0 	 	 4 	 	 0.37335748820861153	 	 6	 	0.2746763438844286
0 	 	 4 	 	 0.37335748820861153	 	 7	 	0.3050192822098166
0 	 	 4 	 	 0.37335748820861153	 	 8	 	0.2868852459016394
0 	 	 4 	 	 0.37335748820861153	 	 9	 	0.40647549313023257
0 	 	 5 	 	 0.42218827589450647	 	 6	 	0.2746763438844286
0 	 	 5 	 	 0.42218827589450647	 	 7	 	0.3050192822098166
0 	 	 5 	 	 0.42218827589450647	 	 8	 	0.2868852459016394
0 	 	 5 	 	 0.42218827589450647	 	 9	 	0.40647549313023257
0 	 	 6 	 	 0.2746763438844286	 	 7	 	0.3050192822098166
0 	 	 6 	 	 0.2746763438844286	 	 8	 	0.2868852459016394
0 	 	 6 	 	 0.2746763438844286	 	 9	 	0.40647549313023257
0 	 	 7 	 	 0.3050192822098166	 	 8	 	0.2868852459016394
0 	 	 7 	 	 0.3050192822098166	 	 9	 	0.40647549313023257
0 	 	 8 	 	 0.2868852459016394	 	 9	 	0.40647549313023257
1 	 	 0 	 	 0.31275984996506406	 	 2	 	0.3674770846824064
1 	 	 0 	 	 0.31275984996506406	 	 3	 	0.21041365903921624
1 	 	 0 	 	 0.31275984996506406	 	 4	 	0.24872981552069068
1 	 	 0 	 	 0.31275984996506406	 	 5	 	0.33090881543880774
1 	 	 0 	 	 0.31275984996506406	 	 6	 	0.22677631737399964
1 	 	 0 	 	 0.31275984996506406	 	 7	 	0.19538366661567036
1 	 	 0 	 	 0.31275984996506406	 	 8	 	0.2716072381275556
1 	 	 0 	 	 0.31275984996506406	 	 9	 	0.30728661555925063
1 	 	 2 	 	 0.3674770846824064	 	 3	 	0.21041365903921624
1 	 	 2 	 	 0.3674770846824064	 	 4	 	0.24872981552069068
1 	 	 2 	 	 0.3674770846824064	 	 5	 	0.33090881543880774
1 	 	 2 	 	 0.3674770846824064	 	 6	 	0.22677631737399964
1 	 	 2 	 	 0.3674770846824064	 	 7	 	0.19538366661567036
1 	 	 2 	 	 0.3674770846824064	 	 8	 	0.2716072381275556
1 	 	 2 	 	 0.3674770846824064	 	 9	 	0.30728661555925063
1 	 	 3 	 	 0.21041365903921624	 	 4	 	0.24872981552069068
1 	 	 3 	 	 0.21041365903921624	 	 5	 	0.33090881543880774
1 	 	 3 	 	 0.21041365903921624	 	 6	 	0.22677631737399964
1 	 	 3 	 	 0.21041365903921624	 	 7	 	0.19538366661567036
1 	 	 3 	 	 0.21041365903921624	 	 8	 	0.2716072381275556
1 	 	 3 	 	 0.21041365903921624	 	 9	 	0.30728661555925063
1 	 	 4 	 	 0.24872981552069068	 	 5	 	0.33090881543880774
1 	 	 4 	 	 0.24872981552069068	 	 6	 	0.22677631737399964
1 	 	 4 	 	 0.24872981552069068	 	 7	 	0.19538366661567036
1 	 	 4 	 	 0.24872981552069068	 	 8	 	0.2716072381275556
1 	 	 4 	 	 0.24872981552069068	 	 9	 	0.30728661555925063
1 	 	 5 	 	 0.33090881543880774	 	 6	 	0.22677631737399964
1 	 	 5 	 	 0.33090881543880774	 	 7	 	0.19538366661567036
1 	 	 5 	 	 0.33090881543880774	 	 8	 	0.2716072381275556
1 	 	 5 	 	 0.33090881543880774	 	 9	 	0.30728661555925063
1 	 	 6 	 	 0.22677631737399964	 	 7	 	0.19538366661567036
1 	 	 6 	 	 0.22677631737399964	 	 8	 	0.2716072381275556
1 	 	 6 	 	 0.22677631737399964	 	 9	 	0.30728661555925063
1 	 	 7 	 	 0.19538366661567036	 	 8	 	0.2716072381275556
1 	 	 7 	 	 0.19538366661567036	 	 9	 	0.30728661555925063
1 	 	 8 	 	 0.2716072381275556	 	 9	 	0.30728661555925063
2 	 	 0 	 	 0.515139643649192	 	 1	 	0.3674770846824064
2 	 	 0 	 	 0.515139643649192	 	 3	 	0.35706419840213055
2 	 	 0 	 	 0.515139643649192	 	 4	 	0.5209280589414029
2 	 	 0 	 	 0.515139643649192	 	 5	 	0.543917172100568
2 	 	 0 	 	 0.515139643649192	 	 6	 	0.2369811303881728
2 	 	 0 	 	 0.515139643649192	 	 7	 	0.36305014262051566
2 	 	 0 	 	 0.515139643649192	 	 8	 	0.3500562829430802
2 	 	 0 	 	 0.515139643649192	 	 9	 	0.590660429818841
2 	 	 1 	 	 0.3674770846824064	 	 3	 	0.35706419840213055
2 	 	 1 	 	 0.3674770846824064	 	 4	 	0.5209280589414029
2 	 	 1 	 	 0.3674770846824064	 	 5	 	0.543917172100568
2 	 	 1 	 	 0.3674770846824064	 	 6	 	0.2369811303881728
2 	 	 1 	 	 0.3674770846824064	 	 7	 	0.36305014262051566
2 	 	 1 	 	 0.3674770846824064	 	 8	 	0.3500562829430802
2 	 	 1 	 	 0.3674770846824064	 	 9	 	0.590660429818841
2 	 	 3 	 	 0.35706419840213055	 	 4	 	0.5209280589414029
2 	 	 3 	 	 0.35706419840213055	 	 5	 	0.543917172100568
2 	 	 3 	 	 0.35706419840213055	 	 6	 	0.2369811303881728
2 	 	 3 	 	 0.35706419840213055	 	 7	 	0.36305014262051566
